MoveIt! version 65804
Experiment unfurl
Running on ML003
Starting at 2023-Jun-23 13:47:58.866491
<<<|
|>>>
0 is the random seed
30 seconds per run
-1 MB per run
1.58049 seconds spent to collect the data
0 enum types
4 planners
rrtconnect
0 common properties
20 properties for each run
time REAL
success BOOLEAN
correct BOOLEAN
length REAL
machine_hostname VARCHAR(128)
machine_process_id BIGINT
machine_thread_id BIGINT
query_finish_time REAL
query_index INT
query_start_time REAL
query_timeout_trial INT
query_trial INT
request_group_name VARCHAR(128)
request_num_planning_attempts INT
request_planner_id VARCHAR(128)
request_planner_type VARCHAR(128)
robowflex_planner_name VARCHAR(128)
robowflex_robot_name VARCHAR(128)
smoothness REAL
waypoints INT
200 runs
0.00725; 0; 0; 0; ML003; 17722; 140548090627840; 0.0074440000000000001; 0; 0.000194; 0; 1; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006742; 0; 0; 0; ML003; 17722; 140548082235136; 0.243643; 1; 0.236901; 0; 12; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00708; 0; 0; 0; ML003; 17722; 140548099020544; 0.248721; 1; 0.24164099999999999; 0; 13; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007838; 0; 0; 0; ML003; 17722; 140548082235136; 0.25155300000000003; 1; 0.24371499999999999; 0; 16; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011505; 0; 0; 0; ML003; 17722; 140548073842432; 0.25348500000000002; 1; 0.24198; 0; 14; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.01154; 0; 0; 0; ML003; 17722; 140548090627840; 0.25459999999999999; 1; 0.24306; 0; 15; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.0068; 0; 0; 0; ML003; 17722; 140548099020544; 0.25558500000000001; 1; 0.24878500000000001; 0; 17; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007125; 0; 0; 0; ML003; 17722; 140548082235136; 0.258768; 1; 0.25164300000000001; 0; 18; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006681; 0; 0; 0; ML003; 17722; 140548099020544; 0.26231300000000002; 1; 0.25563200000000003; 0; 21; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.010771; 0; 0; 0; ML003; 17722; 140548073842432; 0.26433699999999999; 1; 0.25356600000000001; 0; 19; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006577; 0; 0; 0; ML003; 17722; 140548082235136; 0.26539299999999999; 1; 0.25881599999999999; 0; 22; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011296; 0; 0; 0; ML003; 17722; 140548090627840; 0.26599299999999998; 1; 0.25469700000000001; 0; 20; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006671; 0; 0; 0; ML003; 17722; 140548099020544; 0.26905499999999999; 1; 0.26238400000000001; 0; 23; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006723; 0; 0; 0; ML003; 17722; 140548082235136; 0.27216000000000001; 1; 0.26543699999999998; 0; 25; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011311; 0; 0; 0; ML003; 17722; 140548073842432; 0.27571899999999999; 1; 0.26440799999999998; 0; 24; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006857; 0; 0; 0; ML003; 17722; 140548099020544; 0.27602399999999999; 1; 0.26916699999999999; 0; 27; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011725; 0; 0; 0; ML003; 17722; 140548090627840; 0.27778999999999998; 1; 0.266065; 0; 26; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006521; 0; 0; 0; ML003; 17722; 140548082235136; 0.27873100000000001; 1; 0.27221000000000001; 0; 28; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.008041; 0; 0; 0; ML003; 17722; 140548099020544; 0.28415000000000001; 1; 0.27610899999999999; 0; 30; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007069; 0; 0; 0; ML003; 17722; 140548082235136; 0.28585500000000003; 1; 0.27878599999999998; 0; 32; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011555; 0; 0; 0; ML003; 17722; 140548073842432; 0.28736299999999998; 1; 0.275808; 0; 29; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.01183; 0; 0; 0; ML003; 17722; 140548090627840; 0.28971000000000002; 1; 0.27788000000000002; 0; 31; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006813; 0; 0; 0; ML003; 17722; 140548099020544; 0.291047; 1; 0.28423399999999999; 0; 33; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006765; 0; 0; 0; ML003; 17722; 140548082235136; 0.292711; 1; 0.28594599999999998; 0; 34; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00665; 0; 0; 0; ML003; 17722; 140548099020544; 0.29777999999999999; 1; 0.29113; 0; 37; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011057; 0; 0; 0; ML003; 17722; 140548073842432; 0.29852200000000001; 1; 0.28746500000000003; 0; 35; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00678; 0; 0; 0; ML003; 17722; 140548082235136; 0.29954199999999997; 1; 0.29276200000000002; 0; 38; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.0099; 0; 0; 0; ML003; 17722; 140548090627840; 0.29968299999999998; 1; 0.28978300000000001; 0; 36; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006682; 0; 0; 0; ML003; 17722; 140548099020544; 0.30453200000000002; 1; 0.29785; 0; 39; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006567; 0; 0; 0; ML003; 17722; 140548073842432; 0.305143; 1; 0.29857600000000001; 0; 40; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006598; 0; 0; 0; ML003; 17722; 140548082235136; 0.30619400000000002; 1; 0.29959599999999997; 0; 41; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006719; 0; 0; 0; ML003; 17722; 140548090627840; 0.306448; 1; 0.29972900000000002; 0; 42; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006879; 0; 0; 0; ML003; 17722; 140548099020544; 0.31147900000000001; 1; 0.30459999999999998; 0; 43; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006802; 0; 0; 0; ML003; 17722; 140548073842432; 0.31199399999999999; 1; 0.30519200000000002; 0; 44; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007352; 0; 0; 0; ML003; 17722; 140548082235136; 0.31359999999999999; 1; 0.30624800000000002; 0; 45; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007339; 0; 0; 0; ML003; 17722; 140548090627840; 0.31384299999999998; 1; 0.306504; 0; 46; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007007; 0; 0; 0; ML003; 17722; 140548073842432; 0.31906000000000001; 1; 0.31205300000000002; 0; 48; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00762; 0; 0; 0; ML003; 17722; 140548099020544; 0.31917000000000001; 1; 0.31154999999999999; 0; 47; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006964; 0; 0; 0; ML003; 17722; 140548082235136; 0.32064700000000002; 1; 0.31368299999999999; 0; 49; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007076; 0; 0; 0; ML003; 17722; 140548090627840; 0.32096799999999998; 1; 0.313892; 0; 50; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006934; 0; 0; 0; ML003; 17722; 140548073842432; 0.32606299999999999; 1; 0.319129; 0; 51; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007033; 0; 0; 0; ML003; 17722; 140548099020544; 0.32631700000000002; 1; 0.31928400000000001; 0; 52; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006573; 0; 0; 0; ML003; 17722; 140548082235136; 0.327268; 1; 0.32069500000000001; 0; 53; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006785; 0; 0; 0; ML003; 17722; 140548090627840; 0.32780799999999999; 1; 0.321023; 0; 54; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006605; 0; 0; 0; ML003; 17722; 140548099020544; 0.33299000000000001; 1; 0.32638499999999998; 0; 56; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007543; 0; 0; 0; ML003; 17722; 140548073842432; 0.33366600000000002; 1; 0.326123; 0; 55; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00673; 0; 0; 0; ML003; 17722; 140548082235136; 0.33404200000000001; 1; 0.32731199999999999; 0; 57; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007113; 0; 0; 0; ML003; 17722; 140548090627840; 0.33499299999999999; 1; 0.32788; 0; 58; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006667; 0; 0; 0; ML003; 17722; 140548099020544; 0.33972000000000002; 1; 0.33305299999999999; 0; 59; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006788; 0; 0; 0; ML003; 17722; 140548073842432; 0.340505; 1; 0.33371699999999999; 0; 60; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006598; 0; 0; 0; ML003; 17722; 140548082235136; 0.34068500000000002; 1; 0.33408700000000002; 0; 61; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006909; 0; 0; 0; ML003; 17722; 140548090627840; 0.34197100000000002; 1; 0.33506200000000003; 0; 62; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006737; 0; 0; 0; ML003; 17722; 140548099020544; 0.34651100000000001; 1; 0.33977400000000002; 0; 63; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006937; 0; 0; 0; ML003; 17722; 140548082235136; 0.34767199999999998; 1; 0.34073500000000001; 0; 65; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.008003; 0; 0; 0; ML003; 17722; 140548073842432; 0.34855599999999998; 1; 0.34055299999999999; 0; 64; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.008073; 0; 0; 0; ML003; 17722; 140548090627840; 0.35011399999999998; 1; 0.34204099999999998; 0; 66; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007665; 0; 0; 0; ML003; 17722; 140548099020544; 0.35423700000000002; 1; 0.34657199999999999; 0; 67; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006795; 0; 0; 0; ML003; 17722; 140548082235136; 0.35452099999999998; 1; 0.34772599999999998; 0; 68; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007027; 0; 0; 0; ML003; 17722; 140548073842432; 0.35564899999999999; 1; 0.34862199999999999; 0; 69; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006669; 0; 0; 0; ML003; 17722; 140548090627840; 0.35684300000000002; 1; 0.35017399999999999; 0; 70; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006892; 0; 0; 0; ML003; 17722; 140548099020544; 0.36119200000000001; 1; 0.3543; 0; 71; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006976; 0; 0; 0; ML003; 17722; 140548082235136; 0.36154599999999998; 1; 0.35457; 0; 72; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007139; 0; 0; 0; ML003; 17722; 140548073842432; 0.36286000000000002; 1; 0.35572100000000001; 0; 73; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006531; 0; 0; 0; ML003; 17722; 140548090627840; 0.36342400000000002; 1; 0.35689300000000002; 0; 74; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00684; 0; 0; 0; ML003; 17722; 140548099020544; 0.36808999999999997; 1; 0.36125000000000002; 0; 75; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00688; 0; 0; 0; ML003; 17722; 140548082235136; 0.36847299999999999; 1; 0.361593; 0; 76; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006755; 0; 0; 0; ML003; 17722; 140548073842432; 0.36968499999999999; 1; 0.36292999999999997; 0; 77; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00673; 0; 0; 0; ML003; 17722; 140548090627840; 0.370203; 1; 0.36347299999999999; 0; 78; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006686; 0; 0; 0; ML003; 17722; 140548099020544; 0.374832; 1; 0.36814599999999997; 0; 79; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006754; 0; 0; 0; ML003; 17722; 140548082235136; 0.37527100000000002; 1; 0.36851699999999998; 0; 80; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006511; 0; 0; 0; ML003; 17722; 140548090627840; 0.37676199999999999; 1; 0.370251; 0; 82; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007094; 0; 0; 0; ML003; 17722; 140548073842432; 0.37684699999999999; 1; 0.369753; 0; 81; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007166; 0; 0; 0; ML003; 17722; 140548099020544; 0.38205299999999998; 1; 0.37488700000000003; 0; 83; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007981; 0; 0; 0; ML003; 17722; 140548082235136; 0.383295; 1; 0.37531399999999998; 0; 84; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007469; 0; 0; 0; ML003; 17722; 140548090627840; 0.38428200000000001; 1; 0.37681300000000001; 0; 85; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007821; 0; 0; 0; ML003; 17722; 140548073842432; 0.38476100000000002; 1; 0.37694; 0; 86; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006839; 0; 0; 0; ML003; 17722; 140548099020544; 0.38897300000000001; 1; 0.38213399999999997; 0; 87; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006633; 0; 0; 0; ML003; 17722; 140548082235136; 0.38997999999999999; 1; 0.38334699999999999; 0; 88; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006863; 0; 0; 0; ML003; 17722; 140548090627840; 0.39120300000000002; 1; 0.38434000000000001; 0; 89; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006562; 0; 0; 0; ML003; 17722; 140548073842432; 0.39138000000000001; 1; 0.38481799999999999; 0; 90; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007603; 0; 0; 0; ML003; 17722; 140548099020544; 0.396652; 1; 0.38904899999999998; 0; 91; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006845; 0; 0; 0; ML003; 17722; 140548082235136; 0.39687600000000001; 1; 0.39003100000000002; 0; 92; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006713; 0; 0; 0; ML003; 17722; 140548090627840; 0.39798800000000001; 1; 0.39127499999999998; 0; 93; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00676; 0; 0; 0; ML003; 17722; 140548073842432; 0.39820499999999998; 1; 0.39144499999999999; 0; 94; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00658; 0; 0; 0; ML003; 17722; 140548082235136; 0.40350000000000003; 1; 0.39692; 0; 96; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006917; 0; 0; 0; ML003; 17722; 140548099020544; 0.40362999999999999; 1; 0.39671299999999998; 0; 95; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006672; 0; 0; 0; ML003; 17722; 140548090627840; 0.40472799999999998; 1; 0.39805600000000002; 0; 97; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006741; 0; 0; 0; ML003; 17722; 140548073842432; 0.40499499999999999; 1; 0.398254; 0; 98; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006904; 0; 0; 0; ML003; 17722; 140548082235136; 0.41044999999999998; 1; 0.40354600000000002; 0; 99; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
.
rrt
0 common properties
20 properties for each run
time REAL
success BOOLEAN
correct BOOLEAN
length REAL
machine_hostname VARCHAR(128)
machine_process_id BIGINT
machine_thread_id BIGINT
query_finish_time REAL
query_index INT
query_start_time REAL
query_timeout_trial INT
query_trial INT
request_group_name VARCHAR(128)
request_num_planning_attempts INT
request_planner_id VARCHAR(128)
request_planner_type VARCHAR(128)
robowflex_planner_name VARCHAR(128)
robowflex_robot_name VARCHAR(128)
smoothness REAL
waypoints INT
200 runs
0.006892; 0; 0; 0; ML003; 17722; 140548099020544; 0.410584; 2; 0.403692; 0; 0; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.008099; 0; 0; 0; ML003; 17722; 140548090627840; 0.41289700000000001; 2; 0.40479799999999999; 0; 1; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.008087; 0; 0; 0; ML003; 17722; 140548073842432; 0.41312599999999999; 2; 0.40503899999999998; 0; 2; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00675; 0; 0; 0; ML003; 17722; 140548082235136; 0.41727999999999998; 2; 0.41053000000000001; 0; 3; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007275; 0; 0; 0; ML003; 17722; 140548099020544; 0.41796299999999997; 2; 0.410688; 0; 4; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006554; 0; 0; 0; ML003; 17722; 140548090627840; 0.41952699999999998; 2; 0.41297299999999998; 0; 5; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006541; 0; 0; 0; ML003; 17722; 140548073842432; 0.41971700000000001; 2; 0.41317599999999999; 0; 6; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007006; 0; 0; 0; ML003; 17722; 140548082235136; 0.42433700000000002; 2; 0.41733100000000001; 0; 7; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006799; 0; 0; 0; ML003; 17722; 140548099020544; 0.42482999999999999; 2; 0.41803099999999999; 0; 8; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00683; 0; 0; 0; ML003; 17722; 140548073842432; 0.42659900000000001; 2; 0.419769; 0; 10; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007279; 0; 0; 0; ML003; 17722; 140548090627840; 0.42687799999999998; 2; 0.419599; 0; 9; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006819; 0; 0; 0; ML003; 17722; 140548099020544; 0.43170399999999998; 2; 0.42488500000000001; 0; 12; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007428; 0; 0; 0; ML003; 17722; 140548073842432; 0.43408000000000002; 2; 0.42665199999999998; 0; 13; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.010596; 0; 0; 0; ML003; 17722; 140548082235136; 0.43499100000000002; 2; 0.42439500000000002; 0; 11; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011395; 0; 0; 0; ML003; 17722; 140548090627840; 0.43834600000000001; 2; 0.42695100000000002; 0; 14; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006672; 0; 0; 0; ML003; 17722; 140548099020544; 0.43843700000000002; 2; 0.43176500000000001; 0; 15; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007309; 0; 0; 0; ML003; 17722; 140548073842432; 0.441444; 2; 0.43413499999999999; 0; 16; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007584; 0; 0; 0; ML003; 17722; 140548099020544; 0.446075; 2; 0.43849100000000002; 0; 19; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.01217; 0; 0; 0; ML003; 17722; 140548082235136; 0.44723099999999999; 2; 0.43506099999999998; 0; 17; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007529; 0; 0; 0; ML003; 17722; 140548073842432; 0.44905299999999998; 2; 0.44152400000000003; 0; 20; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011923; 0; 0; 0; ML003; 17722; 140548090627840; 0.45034099999999999; 2; 0.43841799999999997; 0; 18; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007454; 0; 0; 0; ML003; 17722; 140548099020544; 0.45361499999999999; 2; 0.44616099999999997; 0; 21; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006741; 0; 0; 0; ML003; 17722; 140548073842432; 0.45589600000000002; 2; 0.44915500000000003; 0; 23; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011904; 0; 0; 0; ML003; 17722; 140548082235136; 0.45922099999999999; 2; 0.44731700000000002; 0; 22; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
